,College Name,State,Public_or_Private,Apps received,Apps accepted,New students,Percent from top 10%,Percent from top 25%,FT undergrads,PT undergrads,in-state tuition,out-of-state tuition,room,board,fees,book costs,personal costs,PhD Faculty,faculty/student ratio,Graduation rate
480,Wheaton College,MA,2,1738.0,1373.0,417.0,21.0,55.0,1335.0,30.0,18460.0,18460.0,2900.0,3070.0,120.0,700.0,850.0,92.0,13.2,71.0
482,Williams College,MA,2,4186.0,1245.0,526.0,81.0,96.0,1988.0,29.0,19629.0,19629.0,2855.0,2935.0,141.0,500.0,1200.0,94.0,9.0,99.0
483,Worcester Polytechnic Institute,MA,2,2768.0,2314.0,682.0,49.0,86.0,2802.0,86.0,15884.0,15884.0,2790.0,2580.0,346.0,530.0,730.0,92.0,15.2,82.0
493,Goucher College,MD,2,1151.0,813.0,248.0,40.0,64.0,850.0,80.0,15588.0,15588.0,4114.0,2060.0,100.0,500.0,1200.0,78.0,9.2,77.0
499,Salisbury State University,MD,1,4216.0,2290.0,736.0,20.0,52.0,4296.0,1027.0,2328.0,5130.0,2190.0,2500.0,766.0,600.0,1450.0,73.0,17.9,56.0
504,University of Maryland at College Park,MD,1,14292.0,10315.0,3409.0,22.0,53.0,19340.0,3991.0,2919.0,8723.0,2899.0,2247.0,561.0,550.0,1550.0,89.0,18.1,63.0
510,University of Maine at Presque Isle,ME,1,461.0,381.0,235.0,10.0,40.0,974.0,503.0,2700.0,6600.0,1904.0,1726.0,200.0,400.0,1675.0,67.0,15.2,35.0
512,Bowdoin College,ME,2,3356.0,1019.0,418.0,76.0,100.0,1490.0,8.0,19030.0,19030.0,2620.0,3265.0,325.0,1495.0,875.0,93.0,11.2,96.0
513,Colby College,ME,2,2848.0,1319.0,456.0,58.0,84.0,1720.0,35.0,18930.0,18930.0,2890.0,2700.0,900.0,500.0,1000.0,83.0,10.2,91.0
514,University of Maine at Farmington,ME,1,1208.0,803.0,438.0,20.0,48.0,1906.0,344.0,2790.0,6810.0,2124.0,1846.0,240.0,450.0,1647.0,67.0,15.9,59.0
519,Thomas College,ME,2,356.0,312.0,139.0,18.0,65.0,388.0,412.0,8850.0,8850.0,2300.0,2150.0,200.0,600.0,1000.0,29.0,21.8,75.0
521,University of Maine at Machias,ME,1,441.0,369.0,172.0,17.0,45.0,633.0,317.0,2700.0,6600.0,1830.0,1850.0,175.0,600.0,400.0,46.0,15.1,64.0
524,Adrian College,MI,2,1428.0,1097.0,336.0,22.0,50.0,1036.0,99.0,11250.0,11250.0,1590.0,2160.0,100.0,400.0,1165.0,53.0,12.9,54.0
525,Albion College,MI,2,1899.0,1720.0,489.0,37.0,68.0,1594.0,32.0,13868.0,13868.0,2426.0,2400.0,1042.0,450.0,850.0,89.0,13.7,73.0
526,Alma College,MI,2,1267.0,1080.0,385.0,44.0,73.0,1306.0,28.0,12572.0,12572.0,2226.0,2326.0,297.0,400.0,400.0,79.0,15.3,68.0
527,Andrews University,MI,2,1130.0,704.0,322.0,14.0,23.0,1586.0,326.0,9996.0,9996.0,1815.0,1275.0,135.0,900.0,1320.0,62.0,11.5,46.0
536,Hillsdale College,MI,2,920.0,745.0,347.0,35.0,66.0,1133.0,42.0,11090.0,11090.0,2600.0,2100.0,210.0,400.0,750.0,80.0,12.0,79.0
537,Hope College,MI,2,1712.0,1483.0,624.0,37.0,69.0,2505.0,208.0,12275.0,12275.0,1980.0,2361.0,84.0,465.0,1100.0,72.0,12.5,72.0
540,Madonna University,MI,2,440.0,391.0,231.0,13.0,27.0,1367.0,2662.0,5040.0,5040.0,2074.0,2078.0,40.0,395.0,1155.0,54.0,14.7,57.0
542,Michigan State University,MI,1,18114.0,15096.0,6180.0,23.0,57.0,26640.0,4120.0,4103.0,10658.0,1646.0,2088.0,524.0,504.0,600.0,93.0,14.0,71.0
543,Michigan Technological University,MI,1,2618.0,2288.0,1032.0,42.0,77.0,5524.0,414.0,3510.0,8127.0,1836.0,2142.0,126.0,900.0,1200.0,82.0,17.0,65.0
550,Spring Arbor College,MI,2,372.0,362.0,181.0,15.0,32.0,1501.0,353.0,8600.0,8600.0,1980.0,1570.0,106.0,385.0,665.0,48.0,15.4,49.0
551,University of Detroit Mercy,MI,2,927.0,731.0,415.0,24.0,50.0,2149.0,2217.0,11130.0,11130.0,1926.0,2070.0,100.0,600.0,2166.0,72.0,13.5,51.0
555,Western Michigan University,MI,1,9167.0,7191.0,2738.0,24.0,53.0,15739.0,4278.0,2785.0,6940.0,1675.0,2425.0,455.0,500.0,1700.0,80.0,24.7,55.0
557,Center for Creative Studies,MI,2,601.0,396.0,203.0,1.0,20.0,525.0,323.0,11230.0,11230.0,3843.0,2800.0,130.0,2340.0,620.0,8.0,6.8,47.0
562,Carleton College,MN,2,2694.0,1579.0,489.0,75.0,93.0,1870.0,12.0,19292.0,19292.0,1623.0,2334.0,126.0,550.0,550.0,81.0,10.4,91.0
563,College of Saint Benedict,MN,2,938.0,864.0,511.0,29.0,62.0,1715.0,103.0,12247.0,12247.0,1971.0,2250.0,88.0,500.0,600.0,70.0,13.1,72.0
564,College of Saint Catherine,MN,2,511.0,411.0,186.0,23.0,51.0,1692.0,562.0,12224.0,12224.0,2290.0,2150.0,220.0,450.0,1000.0,63.0,11.5,77.0
566,University of St. Thomas,MN,2,2057.0,1807.0,828.0,26.0,53.0,4106.0,982.0,11712.0,11712.0,1716.0,2321.0,36.0,500.0,800.0,80.0,13.8,89.0
570,Hamline University,MN,2,1006.0,825.0,328.0,34.0,73.0,1362.0,102.0,13252.0,13252.0,2026.0,2168.0,156.0,450.0,550.0,89.0,13.0,65.0
571,Macalester College,MN,2,2939.0,1496.0,452.0,56.0,86.0,1723.0,113.0,15909.0,15909.0,2480.0,2292.0,101.0,500.0,700.0,85.0,11.9,77.0
576,Saint Cloud State University,MN,1,3971.0,3306.0,1921.0,10.0,34.0,11493.0,2206.0,2270.0,4259.0,1704.0,921.0,255.0,350.0,1884.0,70.0,18.9,58.0
577,Saint John's University,MN,2,933.0,800.0,444.0,18.0,45.0,1691.0,72.0,12247.0,12247.0,2160.0,1921.0,88.0,500.0,600.0,76.0,12.0,70.0
578,Saint Mary's College of Minnesota,MN,2,876.0,802.0,367.0,14.0,35.0,1263.0,118.0,10800.0,10800.0,1700.0,1900.0,100.0,400.0,820.0,68.0,18.8,78.0
581,University of Minnesota at Morris,MN,1,1458.0,874.0,588.0,56.0,86.0,1846.0,154.0,3330.0,9843.0,1365.0,1755.0,315.0,600.0,1500.0,74.0,14.6,51.0
583,University of Minnesota Twin Cities,MN,1,11054.0,6397.0,3524.0,26.0,55.0,16502.0,21836.0,3171.0,8949.0,1498.0,2246.0,414.0,714.0,2910.0,88.0,12.2,45.0
586,Central Methodist College,MO,2,633.0,504.0,210.0,11.0,32.0,920.0,148.0,7780.0,7780.0,1820.0,1550.0,270.0,600.0,1300.0,50.0,15.1,49.0
588,Columbia College,MO,2,314.0,158.0,132.0,10.0,28.0,690.0,5346.0,8294.0,8294.0,1372.0,2328.0,45.0,400.0,900.0,87.0,15.3,37.0
590,Drury College,MO,2,700.0,650.0,314.0,33.0,66.0,1065.0,48.0,8730.0,8730.0,1824.0,1699.0,272.0,500.0,750.0,82.0,13.2,67.0
594,Lindenwood College,MO,2,810.0,484.0,356.0,6.0,33.0,2155.0,191.0,9200.0,9200.0,2400.0,2400.0,200.0,1000.0,4200.0,65.0,24.1,100.0
597,Missouri Valley College,MO,2,1310.0,983.0,316.0,5.0,35.0,1057.0,175.0,8550.0,8550.0,2525.0,2525.0,100.0,400.0,900.0,35.0,17.4,27.0
598,Missouri Western State College,MO,1,1887.0,1870.0,848.0,8.0,30.0,3615.0,1446.0,1998.0,3900.0,1307.0,1304.0,128.0,500.0,2000.0,54.0,19.0,40.0
604,Southeast Missouri State University,MO,1,2281.0,1870.0,1408.0,18.0,43.0,6553.0,1246.0,2550.0,4680.0,2120.0,1420.0,120.0,200.0,2150.0,75.0,17.1,45.0
605,Southwest Baptist University,MO,2,1093.0,1093.0,642.0,12.0,32.0,1770.0,967.0,7070.0,7070.0,1170.0,1330.0,152.0,400.0,1000.0,52.0,15.9,71.0
606,Southwest Missouri State University,MO,1,6118.0,5254.0,3204.0,15.0,37.0,13131.0,3374.0,2370.0,4740.0,880.0,1710.0,166.0,500.0,1360.0,70.0,19.9,56.0
607,Saint Louis University,MO,2,3294.0,2855.0,956.0,44.0,67.0,4576.0,1140.0,11690.0,11690.0,2300.0,2430.0,80.0,800.0,6800.0,84.0,4.6,67.0
613,Washington University,MO,2,7654.0,5259.0,1254.0,62.0,93.0,4879.0,1274.0,18350.0,18350.0,3431.0,2344.0,184.0,768.0,1512.0,91.0,3.9,90.0
614,Webster University,MO,2,665.0,462.0,226.0,17.0,44.0,1739.0,1550.0,9160.0,9160.0,2100.0,2240.0,50.0,500.0,500.0,68.0,20.6,48.0
615,Westminster College,MO,2,662.0,553.0,184.0,20.0,43.0,665.0,37.0,10720.0,10720.0,1870.0,2180.0,200.0,600.0,1650.0,66.0,12.5,62.0
616,William Jewell College,MO,2,663.0,547.0,315.0,32.0,67.0,1279.0,75.0,10060.0,10060.0,1780.0,1190.0,256.0,500.0,2600.0,74.0,11.2,59.0
617,William Woods University,MO,2,469.0,435.0,227.0,17.0,39.0,851.0,120.0,10535.0,10535.0,2250.0,2115.0,140.0,550.0,3700.0,39.0,12.9,52.0
625,Millsaps College,MS,2,905.0,834.0,319.0,32.0,61.0,1073.0,179.0,11320.0,11320.0,2454.0,2048.0,584.0,550.0,1350.0,82.0,12.7,58.0
626,Mississippi College,MS,2,594.0,385.0,307.0,36.0,57.0,1695.0,721.0,5580.0,5580.0,1260.0,1210.0,308.0,600.0,700.0,77.0,16.5,61.0
628,Mississippi State University,MS,1,4255.0,3277.0,1609.0,18.0,57.0,10094.0,1621.0,4946.0,9866.0,1684.0,1400.0,477.0,480.0,1479.0,77.0,15.9,53.0
629,Mississippi Valley State University,MS,1,2800.0,1090.0,580.0,10.0,40.0,2124.0,199.0,2164.0,4306.0,1025.0,1075.0,213.0,275.0,1200.0,43.0,18.6,56.0
632,University of Mississippi,MS,1,3844.0,3383.0,1669.0,26.0,47.0,7524.0,804.0,1996.0,4916.0,1560.0,2250.0,548.0,600.0,550.0,81.0,20.3,53.0
637,Montana State University-Billings,MT,1,931.0,912.0,596.0,7.0,23.0,2482.0,868.0,2142.0,5866.0,1900.0,1400.0,60.0,600.0,2000.0,70.0,18.5,40.0
641,Rocky Mountain College,MT,2,560.0,392.0,270.0,11.0,31.0,743.0,118.0,8734.0,8734.0,1966.0,1396.0,85.0,600.0,625.0,56.0,11.3,68.0
645,Appalachian State University,NC,1,7313.0,4664.0,1910.0,20.0,63.0,9940.0,1035.0,740.0,6806.0,1420.0,1120.0,718.0,96.0,2000.0,83.0,18.3,70.0
646,University of North Carolina at Asheville,NC,1,1757.0,979.0,394.0,32.0,74.0,2033.0,1078.0,608.0,5972.0,1670.0,1750.0,800.0,600.0,750.0,77.0,13.0,37.0
650,Bennett College,NC,2,774.0,542.0,193.0,17.0,38.0,650.0,14.0,5600.0,5600.0,1630.0,1465.0,1030.0,750.0,2000.0,63.0,12.1,44.0
653,Davidson College,NC,2,2373.0,956.0,452.0,77.0,96.0,1601.0,6.0,17295.0,17295.0,2650.0,2420.0,169.0,600.0,1011.0,95.0,12.0,94.0
654,Duke University,NC,2,13789.0,3893.0,1583.0,90.0,98.0,6188.0,53.0,18590.0,18590.0,2996.0,2954.0,480.0,625.0,1162.0,95.0,5.0,97.0
655,East Carolina University,NC,1,9274.0,6362.0,2435.0,14.0,44.0,13171.0,1687.0,764.0,7248.0,1590.0,1650.0,793.0,500.0,1700.0,74.0,13.2,58.0
657,Elon College,NC,2,3624.0,2786.0,858.0,11.0,39.0,2933.0,334.0,9100.0,9100.0,1782.0,2101.0,150.0,490.0,1777.0,70.0,18.9,63.0
658,Fayetteville State University,NC,1,1455.0,1064.0,452.0,1.0,16.0,2632.0,617.0,740.0,6806.0,1150.0,1400.0,636.0,350.0,766.0,75.0,15.1,24.0
659,Gardner Webb University,NC,2,1110.0,930.0,332.0,18.0,36.0,1603.0,374.0,8180.0,8180.0,2230.0,2040.0,950.0,500.0,500.0,65.0,15.2,29.0
661,Guilford College,NC,2,1202.0,1054.0,326.0,18.0,44.0,1410.0,299.0,13404.0,13404.0,2456.0,2704.0,210.0,450.0,1050.0,78.0,15.6,65.0
665,Lenoir-Rhyne College,NC,2,979.0,743.0,259.0,25.0,46.0,1188.0,166.0,10100.0,10100.0,1740.0,2260.0,510.0,400.0,1000.0,88.0,12.0,66.0
666,Livingstone College,NC,2,900.0,473.0,217.0,22.0,47.0,621.0,11.0,4400.0,4400.0,2000.0,1400.0,800.0,800.0,900.0,53.0,10.4,92.0
669,Methodist College,NC,2,750.0,633.0,296.0,27.0,51.0,926.0,367.0,8850.0,8850.0,2100.0,1450.0,158.0,500.0,2600.0,73.0,11.4,56.0
672,North Carolina Wesleyan College,NC,2,812.0,689.0,195.0,7.0,24.0,646.0,84.0,8242.0,8242.0,1900.0,2330.0,500.0,600.0,1295.0,77.0,12.7,52.0
673,Pembroke State University,NC,1,944.0,774.0,440.0,14.0,34.0,2174.0,529.0,628.0,6360.0,1410.0,1350.0,514.0,550.0,1498.0,77.0,15.0,48.0
675,Queens College,NC,2,516.0,392.0,154.0,32.0,62.0,630.0,549.0,11020.0,11020.0,2160.0,2810.0,50.0,610.0,1900.0,73.0,14.0,58.0
676,Salem College,NC,2,335.0,284.0,132.0,28.0,69.0,534.0,216.0,10475.0,10475.0,3275.0,3025.0,176.0,500.0,2000.0,68.0,11.2,60.0
680,North Carolina State University at Raleigh,NC,1,10634.0,7064.0,3176.0,39.0,78.0,16505.0,5481.0,874.0,8400.0,1640.0,1900.0,710.0,600.0,1300.0,92.0,17.5,62.0
681,University of North Carolina at Chapel Hill,NC,1,14596.0,5985.0,3331.0,75.0,92.0,14609.0,1100.0,874.0,8400.0,2040.0,2160.0,606.0,550.0,1200.0,88.0,8.9,83.0
683,University of North Carolina at Greensboro,NC,1,5191.0,4134.0,1500.0,15.0,44.0,7532.0,1847.0,931.0,8677.0,1715.0,1790.0,958.0,600.0,1300.0,75.0,15.5,53.0
686,Western Carolina University,NC,1,3224.0,2519.0,1057.0,11.0,31.0,5000.0,706.0,718.0,6390.0,1142.0,1238.0,647.0,110.0,1622.0,67.0,14.6,55.0
687,University of North Carolina at Wilmington,NC,1,6071.0,3856.0,1449.0,15.0,67.0,6635.0,1145.0,1492.0,7558.0,2100.0,1580.0,752.0,500.0,1500.0,82.0,19.1,55.0
688,Wingate College,NC,2,1239.0,1017.0,383.0,10.0,34.0,1207.0,157.0,7820.0,7820.0,1750.0,1650.0,300.0,550.0,1550.0,69.0,13.9,91.0
690,Dickinson State University,ND,1,434.0,412.0,319.0,10.0,30.0,1376.0,237.0,1681.0,4486.0,846.0,1300.0,176.0,600.0,2000.0,50.0,16.5,46.0
692,University of Mary,ND,2,659.0,601.0,342.0,12.0,34.0,1476.0,282.0,6490.0,6490.0,1345.0,1510.0,75.0,500.0,1800.0,26.0,18.0,48.0
695,University of North Dakota,ND,1,2777.0,2249.0,1652.0,20.0,54.0,8334.0,1435.0,2110.0,5634.0,1033.0,1670.0,318.0,450.0,1200.0,97.0,15.9,49.0
696,Valley City State University,ND,1,368.0,344.0,212.0,5.0,27.0,863.0,189.0,1606.0,4286.0,1820.0,750.0,245.0,600.0,2000.0,39.0,14.9,40.0
697,North Dakota State University,ND,1,2968.0,2297.0,1610.0,13.0,47.0,7368.0,1128.0,2310.0,5834.0,1020.0,1724.0,198.0,600.0,2000.0,79.0,17.0,42.0
701,Creighton University,NE,2,2967.0,2836.0,876.0,30.0,60.0,3450.0,644.0,10628.0,10628.0,2416.0,1956.0,336.0,650.0,2055.0,85.0,6.5,85.0
702,Dana College,NE,2,504.0,482.0,185.0,10.0,36.0,550.0,84.0,9130.0,9130.0,1950.0,1372.0,465.0,450.0,1450.0,46.0,12.6,54.0
703,Doane College,NE,2,793.0,709.0,244.0,20.0,47.0,1022.0,411.0,9570.0,9570.0,1020.0,1980.0,250.0,400.0,1000.0,67.0,15.1,60.0
704,Hastings College,NE,2,817.0,708.0,262.0,22.0,52.0,935.0,37.0,9376.0,9376.0,1338.0,1934.0,396.0,500.0,1902.0,57.0,13.0,52.0
709,Peru State College,NE,1,701.0,501.0,458.0,10.0,40.0,959.0,457.0,1432.0,2580.0,1354.0,1270.0,254.0,500.0,900.0,48.0,20.1,44.0
711,University of Nebraska at Lincoln,NE,1,6277.0,6003.0,3526.0,33.0,63.0,16454.0,3171.0,2055.0,5595.0,1375.0,1770.0,360.0,500.0,2070.0,86.0,15.1,53.0
712,Wayne State College,NE,1,1373.0,1373.0,724.0,6.0,21.0,2754.0,474.0,1500.0,2700.0,1230.0,1430.0,264.0,540.0,1660.0,60.0,20.3,52.0
715,Dartmouth College,NH,2,8587.0,2273.0,1087.0,87.0,99.0,3918.0,32.0,19545.0,19545.0,3255.0,2815.0,105.0,550.0,1100.0,95.0,4.7,98.0
716,Franklin Pierce College,NH,2,5187.0,4471.0,446.0,3.0,14.0,1818.0,1197.0,13320.0,13320.0,2500.0,2130.0,310.0,500.0,800.0,50.0,17.6,51.0
719,Notre Dame College,NH,2,379.0,324.0,107.0,15.0,37.0,500.0,311.0,9990.0,9990.0,2650.0,2250.0,280.0,400.0,600.0,44.0,12.1,33.0
722,University of New Hampshire,NH,1,9750.0,7640.0,2529.0,24.0,62.0,10358.0,1338.0,3550.0,11180.0,1648.0,2214.0,830.0,650.0,2450.0,89.0,17.5,75.0
723,Keene State College,NH,1,3121.0,2446.0,822.0,5.0,19.0,3480.0,776.0,2590.0,7870.0,2727.0,1438.0,756.0,500.0,1150.0,73.0,16.1,61.0
725,Daniel Webster College,NH,2,585.0,508.0,153.0,12.0,30.0,460.0,536.0,12292.0,12292.0,2370.0,2564.0,120.0,500.0,500.0,61.0,22.2,72.0
731,Drew University,NJ,2,2153.0,1580.0,321.0,56.0,84.0,1192.0,87.0,18432.0,18432.0,3224.0,2342.0,510.0,520.0,660.0,93.0,10.2,83.0
732,Georgian Court College,NJ,2,348.0,281.0,127.0,12.0,52.0,1095.0,785.0,9150.0,9150.0,1750.0,2200.0,130.0,500.0,800.0,56.0,12.2,76.0
735,Jersey City State College,NJ,1,2957.0,1423.0,691.0,10.0,30.0,3817.0,1394.0,2798.0,3946.0,2000.0,2800.0,646.0,400.0,1500.0,63.0,14.9,26.0
736,Monmouth College,NJ,2,2707.0,1881.0,478.0,14.0,34.0,1893.0,847.0,12480.0,12480.0,2700.0,2590.0,490.0,530.0,1740.0,70.0,14.2,54.0
737,Montclair State University,NJ,1,5220.0,2128.0,865.0,19.0,53.0,6411.0,3186.0,2400.0,3648.0,3160.0,1674.0,600.0,700.0,950.0,82.0,21.5,58.0
738,New Jersey Institute of Technology,NJ,1,1879.0,1216.0,483.0,27.0,62.0,3311.0,1646.0,4188.0,8832.0,3764.0,1612.0,792.0,700.0,1850.0,92.0,13.5,72.0
741,Princeton University,NJ,2,13218.0,2042.0,1153.0,90.0,98.0,4540.0,146.0,19900.0,19900.0,2696.0,3214.0,400.0,675.0,1575.0,91.0,8.4,99.0
743,Rutgers State University at Newark,NJ,1,5785.0,2690.0,499.0,26.0,62.0,4005.0,1886.0,3640.0,7410.0,2780.0,1968.0,978.0,690.0,2009.0,90.0,17.4,58.0
744,Seton Hall University,NJ,2,4576.0,3565.0,1000.0,16.0,36.0,4384.0,1530.0,12000.0,12000.0,4358.0,2126.0,550.0,650.0,1000.0,81.0,14.4,64.0
745,Saint Peter's College,NJ,2,1606.0,1413.0,530.0,23.0,38.0,1921.0,1154.0,9408.0,9408.0,2820.0,2700.0,295.0,500.0,450.0,78.0,12.1,53.0
749,Rutgers State University at Camden,NJ,1,3366.0,1752.0,232.0,27.0,79.0,2585.0,1300.0,3641.0,7411.0,2780.0,1968.0,849.0,690.0,2009.0,90.0,18.6,57.0
750,Rutgers at New Brunswick,NJ,1,48094.0,26330.0,4520.0,36.0,79.0,21401.0,3712.0,3640.0,7410.0,2780.0,1986.0,1003.0,690.0,2009.0,90.0,19.5,77.0
753,Stockton College of New Jersey,NJ,1,4019.0,1579.0,710.0,23.0,65.0,4365.0,765.0,2288.0,3040.0,2775.0,1576.0,704.0,711.0,1125.0,78.0,19.5,64.0
755,College of Santa Fe,NM,2,546.0,447.0,189.0,16.0,42.0,873.0,683.0,11138.0,11138.0,1978.0,2160.0,330.0,600.0,1200.0,40.0,14.0,80.0
756,College of the Southwest,NM,2,77.0,61.0,27.0,7.0,38.0,352.0,147.0,3120.0,3120.0,1358.0,2024.0,125.0,400.0,500.0,24.0,14.3,20.0
768,Alfred University,NY,2,1732.0,1425.0,472.0,37.0,75.0,1830.0,110.0,16548.0,16548.0,2808.0,2598.0,424.0,500.0,600.0,82.0,11.3,73.0
770,Canisius College,NY,2,2853.0,2193.0,753.0,16.0,34.0,2978.0,434.0,10750.0,10750.0,2750.0,2590.0,326.0,400.0,1130.0,90.0,14.6,64.0
771,Cazenovia College,NY,2,3847.0,3433.0,527.0,9.0,35.0,1010.0,12.0,9384.0,9384.0,2420.0,2420.0,395.0,600.0,500.0,22.0,14.3,118.0
776,Clarkson University,NY,2,2174.0,1953.0,557.0,35.0,68.0,2332.0,53.0,15960.0,15960.0,2622.0,2958.0,323.0,700.0,1300.0,95.0,15.8,77.0
777,Colgate University,NY,2,4856.0,2492.0,727.0,46.0,75.0,2649.0,25.0,19510.0,19510.0,2690.0,2875.0,145.0,500.0,750.0,95.0,10.5,93.0
781,Columbia University,NY,2,6756.0,1930.0,871.0,78.0,96.0,3376.0,55.0,18624.0,18624.0,3740.0,2924.0,486.0,550.0,300.0,97.0,5.9,99.0
782,Barnard College,NY,2,2496.0,1402.0,531.0,53.0,95.0,2121.0,69.0,17926.0,17926.0,4786.0,3338.0,720.0,600.0,850.0,83.0,10.3,91.0
788,Elmira College,NY,2,1457.0,1045.0,345.0,27.0,50.0,1109.0,502.0,14990.0,14990.0,2860.0,2180.0,300.0,450.0,550.0,77.0,21.5,64.0
791,Hartwick College,NY,2,2083.0,1725.0,430.0,22.0,49.0,1464.0,67.0,17480.0,17480.0,2250.0,2530.0,300.0,500.0,700.0,75.0,12.3,73.0
792,Hobart and William Smith Colleges,NY,2,2688.0,2081.0,500.0,25.0,53.0,1792.0,5.0,19029.0,19029.0,2877.0,2964.0,431.0,600.0,600.0,99.0,12.1,79.0
793,Hofstra University,NY,2,7428.0,5860.0,1349.0,25.0,63.0,6534.0,1350.0,11600.0,11600.0,3620.0,2300.0,650.0,1000.0,1000.0,81.0,13.9,60.0
794,Houghton College,NY,2,949.0,786.0,302.0,30.0,70.0,1210.0,26.0,9990.0,9990.0,1850.0,1700.0,310.0,500.0,1500.0,85.0,15.0,67.0
800,Le Moyne College,NY,2,1470.0,1199.0,425.0,21.0,76.0,1820.0,558.0,11040.0,11040.0,1950.0,2890.0,320.0,400.0,900.0,89.0,13.3,94.0
802,Manhattanville College,NY,2,962.0,750.0,212.0,21.0,54.0,830.0,150.0,14700.0,14700.0,3600.0,2950.0,410.0,450.0,400.0,97.0,11.3,70.0
803,Marist College,NY,2,4731.0,3171.0,830.0,12.0,31.0,3557.0,658.0,10700.0,10700.0,2400.0,3525.0,290.0,550.0,1200.0,74.0,17.6,69.0
813,Nyack College,NY,2,460.0,283.0,160.0,15.0,34.0,508.0,34.0,7950.0,7950.0,1680.0,2130.0,450.0,600.0,1200.0,35.0,11.6,55.0
814,Pace University,NY,2,8256.0,3750.0,1522.0,37.0,70.0,5809.0,4379.0,11100.0,11000.0,1340.0,3420.0,350.0,660.0,1115.0,90.0,13.8,62.0
822,Sarah Lawrence College,NY,2,1380.0,768.0,263.0,57.0,82.0,1000.0,105.0,19300.0,19300.0,4816.0,1878.0,264.0,600.0,700.0,89.0,6.1,83.0
823,Skidmore College,NY,2,4293.0,2728.0,591.0,25.0,62.0,2322.0,263.0,18710.0,18710.0,3170.0,2515.0,215.0,500.0,700.0,87.0,12.7,81.0
824,Siena College,NY,2,2961.0,1932.0,628.0,24.0,68.0,2669.0,616.0,10800.0,10800.0,2120.0,2980.0,310.0,575.0,1090.0,71.0,14.1,100.0
825,St. Bonaventure University,NY,2,1489.0,1313.0,375.0,13.0,45.0,1688.0,131.0,10456.0,10456.0,2312.0,2615.0,395.0,500.0,1050.0,91.0,17.7,78.0
827,St. John Fisher College,NY,2,1368.0,1064.0,354.0,19.0,51.0,1687.0,677.0,10570.0,10570.0,3550.0,2050.0,190.0,400.0,800.0,86.0,14.5,66.0
830,St. Lawrence University,NY,2,2753.0,1820.0,505.0,31.0,56.0,1801.0,45.0,18720.0,18720.0,2960.0,2770.0,420.0,650.0,825.0,90.0,11.5,85.0
832,SUNY at Albany,NY,1,13528.0,9198.0,1843.0,16.0,61.0,10168.0,1231.0,2650.0,6550.0,2950.0,1405.0,295.0,700.0,1560.0,93.0,17.4,74.0
833,SUNY at Binghamton,NY,1,14463.0,6166.0,1757.0,60.0,94.0,8544.0,671.0,2650.0,6550.0,2690.0,1908.0,360.0,700.0,1000.0,83.0,18.0,80.0
835,SUNY College at Brockport,NY,1,7294.0,3564.0,904.0,7.0,34.0,5758.0,1363.0,2650.0,6550.0,2760.0,1700.0,315.0,500.0,705.0,79.0,19.0,49.0
836,SUNY College at Buffalo,NY,1,5318.0,3515.0,1025.0,8.0,29.0,7626.0,2091.0,2650.0,6550.0,2680.0,1360.0,240.0,550.0,1230.0,71.0,18.7,42.0
837,SUNY College at Cortland,NY,1,7888.0,3519.0,1036.0,6.0,40.0,5011.0,346.0,2650.0,6550.0,2680.0,2000.0,316.0,630.0,1274.0,82.0,17.8,53.0
838,SUNY College at Fredonia,NY,1,4877.0,2798.0,814.0,13.0,48.0,4123.0,298.0,2650.0,6550.0,2500.0,1920.0,359.0,620.0,1481.0,82.0,16.3,66.0
839,SUNY College at Geneseo,NY,1,8598.0,4562.0,1143.0,56.0,93.0,5060.0,146.0,2650.0,6550.0,2620.0,1550.0,433.0,600.0,650.0,79.0,19.1,76.0
840,SUNY College at New Paltz,NY,1,8399.0,3609.0,656.0,19.0,53.0,4658.0,1478.0,2650.0,6550.0,1790.0,2450.0,271.0,550.0,1500.0,85.0,15.3,53.0
842,SUNY College at Oswego,NY,1,8000.0,4556.0,1464.0,17.0,70.0,6943.0,869.0,2650.0,6550.0,2830.0,1980.0,311.0,500.0,1500.0,69.0,22.0,63.0
843,SUNY College at Plattsburgh,NY,1,5549.0,3583.0,853.0,9.0,40.0,5004.0,475.0,2650.0,6550.0,2520.0,1656.0,309.0,600.0,1380.0,80.0,17.9,65.0
844,SUNY College at Potsdam,NY,1,3150.0,2289.0,650.0,16.0,51.0,3598.0,234.0,2650.0,6840.0,2750.0,1910.0,240.0,500.0,1000.0,71.0,15.1,59.0
845,Syracuse University,NY,2,10477.0,7260.0,2442.0,28.0,67.0,10142.0,117.0,15150.0,15150.0,3620.0,3250.0,360.0,635.0,960.0,73.0,11.3,67.0
847,Union College,NY,2,3495.0,1712.0,528.0,49.0,84.0,1915.0,123.0,18732.0,18732.0,3297.0,2907.0,190.0,450.0,1024.0,94.0,11.5,88.0
850,University of Rochester,NY,2,8766.0,5498.0,1243.0,56.0,75.0,5071.0,438.0,17840.0,17840.0,3978.0,2604.0,410.0,500.0,882.0,93.0,5.9,80.0
859,SUNY College at Purchase,NY,1,2119.0,1264.0,390.0,5.0,33.0,2478.0,1441.0,2650.0,6550.0,2990.0,1770.0,367.0,1125.0,1362.0,80.0,14.9,46.0
